title,url,price_raw,price_value,price_currency,location_text,posted_date_raw,posted_date,time_raw,card_id,district_id,district_name
Uy arenda beramiz sergili yangi hayot 2 hona 68 kv,https://www.olx.uz/d/obyavlenie/uy-arenda-beramiz-sergili-yangi-hayot-2-hona-68-kv-ID4egMI.html,479 у.е.,479.0,у.е,,,,,4egMI,21,uchtepa
Arzongastinsa chilonzor 21 -mavze,https://www.olx.uz/d/obyavlenie/arzongastinsa-chilonzor-21-mavze-ID4dtDJ.html,200 000 сум Договорная,200000.0,сум,,,,,4dtDJ,21,uchtepa
Аренда квартиры без посредников,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-bez-posrednikov-ID4bXkt.html,370 у.е.,370.0,у.е,,,,,4bXkt,21,uchtepa
Сдаю Свою квартиру,https://www.olx.uz/d/obyavlenie/sdayu-svoyu-kvartiru-ID3SDDW.html,350 у.е.,350.0,у.е,,,,,3SDDW,21,uchtepa
Аренда: Сдаётся 2х комнатная переделанная в 3х Чиланзар 14 квартал,https://www.olx.uz/d/obyavlenie/arenda-sdaetsya-2h-komnatnaya-peredelannaya-v-3h-chilanzar-14-kvartal-ID4dACq.html,400 у.е.,400.0,у.е,,,,,4dACq,21,uchtepa
Ижарага квартира  1- хона олдиндан депозит олинади 200$депозит,https://www.olx.uz/d/obyavlenie/izharaga-kvartira-1-hona-oldindan-depozit-olinadi-200-depozit-ID4enMW.html,550 у.е.,550.0,у.е,,,,,4enMW,21,uchtepa
Аренда: Чиланзар 14 квартал 2/4/4. Ориентир Жуковская больница,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-14-kvartal-2-4-4-orientir-zhukovskaya-bolnitsa-ID4enBI.html,400 у.е.,400.0,у.е,,,,,4enBI,21,uchtepa
Ўрикзор резиденс 2 хона ижара,https://www.olx.uz/d/obyavlenie/rikzor-rezidens-2-hona-izhara-ID4emXV.html,450 у.е.,450.0,у.е,,,,,4emXV,21,uchtepa
Uchtepa xokimiyatni oldida 3/8/9 qizlarni quyamiz 2ta,https://www.olx.uz/d/obyavlenie/uchtepa-xokimiyatni-oldida-3-8-9-qizlarni-quyamiz-2ta-ID2Xu0T.html,600 000 сум Договорная,600000.0,сум,,,,,2Xu0T,21,uchtepa
Аренда чиланзар 14.  Одна переделанная на двух,https://www.olx.uz/d/obyavlenie/arenda-chilanzar-14-odna-peredelannaya-na-dvuh-ID4dzVu.html,400 у.е.,400.0,у.е,,,,,4dzVu,21,uchtepa
Вренда квартиры Чиланзар 19,https://www.olx.uz/d/obyavlenie/vrenda-kvartiry-chilanzar-19-ID4en46.html,400 у.е.,400.0,у.е,,,,,4en46,21,uchtepa
Белтепада новастройка 2 хонали арендага берилади,https://www.olx.uz/d/obyavlenie/beltepada-novastroyka-2-honali-arendaga-beriladi-ID4emYz.html,4 800 000 сум,4800000.0,сум,,,,,4emYz,21,uchtepa
Аренда квартир.Без посредника. Месяц 850000 сум За одного человека,https://www.olx.uz/d/obyavlenie/arenda-kvartir-bez-posrednika-mesyats-850000-sum-za-odnogo-cheloveka-ID4aG02.html,850 000 сум,850000.0,сум,,,,,4aG02,21,uchtepa
2 хона учтепа уригзор,https://www.olx.uz/d/obyavlenie/2-hona-uchtepa-urigzor-ID4ee1P.html,400 у.е.,400.0,у.е,,,,,4ee1P,21,uchtepa
Сдается Квартира Учтепа 15Кв 3/5/5  68м2,https://www.olx.uz/d/obyavlenie/sdaetsya-kvartira-uchtepa-15kv-3-5-5-68m2-ID4ecQC.html,500 у.е.,500.0,у.е,,,,,4ecQC,21,uchtepa
Аренда квартиры Чиланзар 26,https://www.olx.uz/d/obyavlenie/arenda-kvartiry-chilanzar-26-ID4emUy.html,450 у.е.,450.0,у.е,,,,,4emUy,21,uchtepa
